,SR,CR,MDD,ANN_RET,ANN_VOL,SortR,DownRisk,VaR,TailR,Skew,Kurt,exchange,region,set
PETG SV Equity,0.29727321098744675,0.08059767974939537,-0.84569313727441,0.06816090464430435,0.2292870737255321,0.5936437483109475,0.15519685954161214,-0.02887449734959577,1.018606985596382,0.4739681822025582,9.73780293458349,Europe_SBITOP,Europe,train
CEZ CP Equity,0.31829970457960266,0.11921105014279014,-0.7484188334504581,0.08921979508227107,0.28030121862698226,0.6336104975147575,0.19716940471682126,-0.027105182884689268,1.0295035222873024,-0.20159133322812553,13.746131238351886,Europe_PX,Europe,train
KOMB CP Equity,0.2810948031884503,0.13153666226641755,-0.6573519627411845,0.08646588311325387,0.30760399029962077,0.6129900025893668,0.2126137474433997,-0.027105182884689268,1.0295035222873024,-0.0405142146224675,6.794826739509073,Europe_PX,Europe,train
RBAG CP Equity,0.06609975687169434,0.02603893525490794,-0.8836876050416528,0.023010284333244257,0.34811450786285525,0.3431470582267856,0.24320628384689336,-0.027105182884689268,1.0295035222873024,0.09650700392366016,13.155850134210958,Europe_PX,Europe,train
TABAK CP Equity,0.13182246965888827,0.03908653076706641,-0.8200802829016538,0.03205409320910002,0.24316107331356415,0.3490420771834604,0.17566424093959493,-0.027105182884689268,1.0295035222873024,-0.544973983812413,10.241572813878255,Europe_PX,Europe,train
TELEC CP Equity,0.05609547254725908,0.019865062496104275,-0.8224470332431714,0.01633796171511115,0.2912527691311774,0.2913066188085765,0.2007882310699006,-0.027105182884689268,1.0295035222873024,0.41104257318546966,12.276879704244127,Europe_PX,Europe,train
ADPLRA CZ Equity,0.08631717329264853,0.02660033002937689,-0.8863228935990717,0.023576481482327605,0.2731377845564316,0.32935873691254586,0.18362309045995867,-0.027983215757869134,1.0665794534761308,0.4323845928432749,10.700220931715455,Europe_CRO,Europe,train
ADRSPA CZ Equity,-0.3004029768940517,-0.08493477467700726,-0.975349132265324,-0.08284105878036985,0.2757664375928832,-0.014866763143940113,0.23382740088205334,-0.027983215757869134,1.0665794534761308,-24.61375259554891,1289.5772314799376,Europe_CRO,Europe,train
ARNTRA CZ Equity,0.17585285447216897,0.10340721604970242,-0.9354838709677419,0.09673578275617323,0.5500950385282654,0.6800166162011999,0.3535068827603967,-0.027983215757869134,1.0665794534761308,2.406005290533813,73.23308391774366,Europe_CRO,Europe,train
ATGRRA CZ Equity,0.1279488284452097,0.03259201558070217,-0.6570053475935826,0.02141312852537469,0.16735697220193174,0.3084494279060215,0.1138330984783498,-0.027983215757869134,1.0665794534761308,1.0819191769525627,40.36937631900706,Europe_CRO,Europe,train
ATPLRA CZ Equity,0.20607022282242918,0.11899230844031591,-0.9738344974484604,0.11587881489020724,0.5623268287046987,0.7690547077076565,0.34137421601719325,-0.027983215757869134,1.0665794534761308,2.4769941742171095,47.23964405051649,Europe_CRO,Europe,train
DDJHRA CZ Equity,-0.2939080234930952,-0.1456241284602604,-0.9951890034364261,-0.14492353127866464,0.4930914425412729,-0.12675817175165832,0.31253914695471674,-0.027983215757869134,1.0665794534761308,3.031354990217622,68.82889437105342,Europe_CRO,Europe,train
ERNTRA CZ Equity,0.27434432535762965,0.08958346029252484,-0.7996720930232555,0.07163739319238904,0.2611221978038146,0.5645842629939274,0.1836009683730707,-0.027983215757869134,1.0665794534761308,-0.5577701335689298,33.946747187170196,Europe_CRO,Europe,train
HTRA CZ Equity,-0.23041648927505823,-0.04639066608350047,-0.6545226130653266,-0.030363739986813743,0.13177763484872482,-0.2276747610226621,0.09704992621986086,-0.027983215757869134,1.0665794534761308,-0.9149862647013434,32.48958210698817,Europe_CRO,Europe,train
MAISRA CZ Equity,0.07328224793288952,0.02879738599456892,-0.8954325971661525,0.025786118132713032,0.35187400578005557,0.38683281659432944,0.2213777264096944,-0.027983215757869134,1.0665794534761308,2.530533800324792,46.04723831031732,Europe_CRO,Europe,train
OPTERA CZ Equity,-0.32322492114773266,-0.1641978177491131,-0.9956297743826611,-0.16348023623967478,0.5057785632963455,-0.14928254167055682,0.34167445400409985,-0.027983215757869134,1.0665794534761308,0.6551030994315216,17.228753759812534,Europe_CRO,Europe,train
PODRRA CZ Equity,0.34340544693600245,0.12190878351949125,-0.717244094488189,0.08743835504559416,0.2546213399518072,0.6905427124701948,0.16804377310835023,-0.027983215757869134,1.0665794534761308,0.7063729402319042,10.498209184785884,Europe_CRO,Europe,train
RIVPRA CZ Equity,-0.3138750076516936,-0.12300718798800724,-0.9881351351351352,-0.12154772432512251,0.38724881357869606,0.05873064378116437,0.3071024752843994,-0.027983215757869134,1.0665794534761308,-10.556934116960813,421.6958218300501,Europe_CRO,Europe,train
ZABARA CZ Equity,-0.24996440794261804,-0.12004460098106425,-0.9981203007518797,-0.11981895323485925,0.4793440563040677,0.18814212792471638,0.36746402237786885,-0.027983215757869134,1.0665794534761308,-6.6601707553717855,281.766993990131,Europe_CRO,Europe,train
AALB NA Equity,0.33345828935849636,0.12576568618597508,-0.844914864242982,0.10626129767024861,0.3186644358869381,0.6955090555092677,0.21806620615933361,-0.03145402761300969,1.0119988601928243,0.24669824678695815,6.935582917941835,Europe_AEX,Europe,val
AD NA Equity,-0.03426761863947229,-0.012180971274764696,-0.9339406393195828,-0.011376304099887213,0.33198408735595775,0.20605309425461069,0.2465065743537431,-0.03145402761300969,1.0119988601928243,-4.255927997642326,160.35447844093045,Europe_AEX,Europe,val
AGN NA Equity,-0.2395389962325924,-0.11171101089329516,-0.9640414019116196,-0.10769403955053647,0.44958875692192324,-0.042643858349504266,0.3114977385776356,-0.03145402761300969,1.0119988601928243,0.5439456553732013,13.814745127251303,Europe_AEX,Europe,val
AKZA NA Equity,0.09672774409926117,0.0389267867456151,-0.7162237224406081,0.027880288105596174,0.28823465661502107,0.35228066146405246,0.19535323556333542,-0.03145402761300969,1.0119988601928243,0.5417412363437759,8.316392620113016,Europe_AEX,Europe,val
ASML NA Equity,0.313367257365332,0.15073979412018249,-0.8998707387185767,0.13564632988921477,0.4328669530750452,0.759478576127586,0.2901712706160979,-0.03145402761300969,1.0119988601928243,0.43235153032897417,6.224935892419067,Europe_AEX,Europe,val
DSM NA Equity,0.39100953263175536,0.16378150639590305,-0.6181245456748241,0.10123736923090587,0.258912790564237,0.7179468508198917,0.1811584971767432,-0.03145402761300969,1.0119988601928243,-0.20503033986792557,6.20718081038622,Europe_AEX,Europe,val
HEIA NA Equity,0.24626024698543525,0.0952521751731499,-0.5925465838509312,0.05644135100322045,0.22919391860497323,0.5139508268813591,0.15791178523779142,-0.03145402761300969,1.0119988601928243,0.10282997854532819,5.177830950637828,Europe_AEX,Europe,val
INGA NA Equity,-0.0748545352490913,-0.03573936014854003,-0.9431429113009276,-0.0337073241785264,0.45030436788311484,0.21600727064828099,0.3082601410968053,-0.03145402761300969,1.0119988601928243,0.5993903124706657,14.897665355141829,Europe_AEX,Europe,val
KPN NA Equity,-0.2523662404703111,-0.0963669462810351,-0.9691641413652786,-0.09339538874845332,0.3700787735094883,-0.11598233023450893,0.25600514657031304,-0.03145402761300969,1.0119988601928243,0.41051724316416893,13.773915038111461,Europe_AEX,Europe,val
MT NA Equity,-0.019624201444191657,-0.010637147918204916,-0.9582214033606027,-0.010192742805936628,0.5193965642333671,0.35353845771950004,0.3506488698874358,-0.03145402761300969,1.0119988601928243,0.3874440154035493,5.385443200851499,Europe_AEX,Europe,val
PHIA NA Equity,0.02217032258758324,0.009643467100138936,-0.8110919170665085,0.007821738217419494,0.35280218348289405,0.2863175079800776,0.24432576914495535,-0.03145402761300969,1.0119988601928243,0.15846754408022332,4.2512280498617265,Europe_AEX,Europe,val
RAND NA Equity,0.038048935457418866,0.016494626967559788,-0.8910750507099393,0.01469795056155987,0.3862907170690377,0.33068979696681133,0.27112614217835584,-0.03145402761300969,1.0119988601928243,-0.17588832799107884,9.467463047734364,Europe_AEX,Europe,val
RDSA NA Equity,-0.09514422353070102,-0.03498900930235,-0.7315200000000001,-0.025595160084855073,0.269014335658497,0.053851962397588576,0.19087078477920566,-0.03145402761300969,1.0119988601928243,0.13886400035647964,14.490705800592014,Europe_AEX,Europe,val
REN NA Equity,0.18173888550052142,0.07787212975285077,-0.6126843413421712,0.047711034526537466,0.2625251849384791,0.4411729768041813,0.1839559740931252,-0.03145402761300969,1.0119988601928243,-0.1315835053385367,8.20642571057035,Europe_AEX,Europe,val
UNA NA Equity,0.17263880739479862,0.09309642481824676,-0.47808922226608863,0.044508397337108985,0.2578122382143493,0.4240010790808021,0.18116174394967025,-0.03145402761300969,1.0119988601928243,-0.036025620595685724,4.841444716437461,Europe_AEX,Europe,val
VPK NA Equity,0.2614541337619859,0.11601150410354712,-0.6043676514923125,0.07011360028115154,0.26816787813720044,0.56488933303616,0.18360311526372872,-0.03145402761300969,1.0119988601928243,0.11170557811797496,7.342965782324223,Europe_AEX,Europe,val
WKL NA Equity,0.1729194983534238,0.06004265849780535,-0.796342857142857,0.04781454221859516,0.2765133063297973,0.43028411955757556,0.1984968059276662,-0.03145402761300969,1.0119988601928243,-0.7969700642153802,17.979060804297006,Europe_AEX,Europe,val
ALPHA GA Equity,-0.3627201816277221,-0.23479644249540693,-0.9990163137420546,-0.23456547646150971,0.6466843819080792,-0.13234199466700836,0.44254444073871607,-0.04453774887970005,1.0691839802606649,0.48203624772468573,10.439360606502298,Europe_ASE,Europe,val
ASCO GA Equity,-0.03330369249428648,-0.017451501678349607,-0.9649157894736843,-0.016839229519466037,0.5056265013963525,0.3222280752720122,0.34174657310285284,-0.04453774887970005,1.0691839802606649,0.4128949457496541,5.050494911801234,Europe_ASE,Europe,val
AVAX GA Equity,-0.20285341232093868,-0.09651525713414343,-0.9846285487271949,-0.09503167756202369,0.4684746313839279,0.03184615336701734,0.32380038798059607,-0.04453774887970005,1.0691839802606649,0.08353737544040175,9.7958459183224,Europe_ASE,Europe,val
BELA GA Equity,0.23157117515355619,0.1147633467633559,-0.817452593482459,0.09381359544843204,0.4051177586598319,0.6314637603730848,0.2713658714526442,-0.04453774887970005,1.0691839802606649,0.3523331736502794,4.149694445024879,Europe_ASE,Europe,val
EKTER GA Equity,-0.17975469857840967,-0.11100152567869633,-0.9840983178291933,-0.10923641469687906,0.607697131484047,0.16756341326264737,0.4062460984776729,-0.04453774887970005,1.0691839802606649,0.5293189613609867,9.87814357988938,Europe_ASE,Europe,val
ELLAKTOR GA Equity,-0.19076579908593744,-0.09897547559518377,-0.9610131178159665,-0.09511673038904567,0.4986047333683584,0.07148817995587103,0.34218182600745634,-0.04453774887970005,1.0691839802606649,0.24318280116226354,9.460006047952835,Europe_ASE,Europe,val
ELPE GA Equity,-0.11893603110530149,-0.052494852317233553,-0.8047401023431183,-0.04224471282625741,0.35518851969135856,0.08092929670077847,0.24576620344032385,-0.04453774887970005,1.0691839802606649,0.12904476143884658,4.20945184317324,Europe_ASE,Europe,val
ELTON GA Equity,-0.0732544642534799,-0.034014378844739235,-0.9132410658954762,-0.03106332759194219,0.4240468879064467,0.20373673010846083,0.28097248545306397,-0.04453774887970005,1.0691839802606649,0.9895942401129287,15.691381322243828,Europe_ASE,Europe,val
ETE GA Equity,-0.32165281336995133,-0.3533621785212296,-0.9999843586631988,-0.35335665146438255,1.0985653996377978,-0.07815773111676523,0.5148201148476917,-0.04453774887970005,1.0691839802606649,34.79136077887919,2057.375807825852,Europe_ASE,Europe,val
EUPIC GA Equity,-0.12031744341751124,-0.0632967218660234,-0.981767561041713,-0.06214266824834147,0.5164892677506568,0.197546823625324,0.3446835092034458,-0.04453774887970005,1.0691839802606649,0.5509458112688943,5.06049470839398,Europe_ASE,Europe,val
EUROB GA Equity,-0.21304332710496088,-0.36746980618268005,-0.9999894226958251,-0.36746591934276496,1.7248412533555868,0.17663398154223986,0.5430794996980494,-0.04453774887970005,1.0691839802606649,54.60981499451785,3689.517737244147,Europe_ASE,Europe,val
EXAE GA Equity,-0.14105089650256017,-0.06562712477917275,-0.9175000000000003,-0.06021288698489102,0.4268876588373766,0.09960734601252562,0.2920638586585243,-0.04453774887970005,1.0691839802606649,0.14909140823113046,7.223685033302283,Europe_ASE,Europe,val
EYAPS GA Equity,0.12712275401892728,0.06064071237176801,-0.6987179487179496,0.04237075415719693,0.33330582305421386,0.4282011701589187,0.22627018922169753,-0.04453774887970005,1.0691839802606649,0.300132219272431,6.299827851188036,Europe_ASE,Europe,val
EYDAP GA Equity,0.004885547446975787,0.00222291367069647,-0.8437234584678114,0.0018755244101154034,0.38389237449251995,0.29060139661711004,0.25939678636068064,-0.04453774887970005,1.0691839802606649,0.2521405888261503,4.665719657279627,Europe_ASE,Europe,val
FLEXO GA Equity,-0.08687216693551858,-0.039670429860076066,-0.9363070517932418,-0.03714370322565841,0.42756736174462595,0.18380842523964058,0.2970381204013345,-0.04453774887970005,1.0691839802606649,-0.20815183431718276,17.49350066277754,Europe_ASE,Europe,val
FOYRK GA Equity,-0.13225658392400388,-0.0617573410539035,-0.9769064748201439,-0.06033114634323422,0.4561674326769333,0.1325527607335297,0.3114241593021885,-0.04453774887970005,1.0691839802606649,0.43248448208280454,6.229493512390217,Europe_ASE,Europe,val
GEKTERNA GA Equity,-0.07476614295847439,-0.03823632534770238,-0.9802681425717864,-0.03748185162736273,0.5013211882306192,0.25633406715523743,0.34203156024584164,-0.04453774887970005,1.0691839802606649,0.13440747347590917,7.129796843951567,Europe_ASE,Europe,val
HTO GA Equity,-0.05590119651164918,-0.021900704054531678,-0.9652013241973978,-0.021138588554289295,0.3781419696425326,0.19119369744683562,0.26192922043738764,-0.04453774887970005,1.0691839802606649,0.17939932679334594,6.39062239393729,Europe_ASE,Europe,val
IASO GA Equity,-0.13479529141530047,-0.06065801406546244,-0.9649002418898287,-0.058528932444321335,0.43420606038823234,0.11467426107028741,0.2872834150264725,-0.04453774887970005,1.0691839802606649,0.7571159376435744,6.913096504528632,Europe_ASE,Europe,val
IATR GA Equity,-0.23699214320516007,-0.10900411513688452,-0.9917187204240016,-0.10810142158450164,0.45613926319456116,-0.038093049740061335,0.30225823437454313,-0.04453774887970005,1.0691839802606649,0.7606389823004384,6.624744427787832,Europe_ASE,Europe,val
IKTIN GA Equity,0.040777826045465176,0.02195340482759149,-0.90461950917715,0.01985947829990309,0.4870166025467074,0.42687961045569045,0.32248052318090453,-0.04453774887970005,1.0691839802606649,0.4209982947839365,6.330710492489416,Europe_ASE,Europe,val
INKAT GA Equity,-0.2051676598162739,-0.12480667830914963,-0.9883452713366517,-0.1233520903380827,0.6012257996632782,0.1182272922256922,0.3984371420264111,-0.04453774887970005,1.0691839802606649,0.72812660087086,8.677518245474602,Europe_ASE,Europe,val
INLOT GA Equity,-0.24617359873610964,-0.12473239582759021,-0.994567551172032,-0.12405479347006698,0.5039321605037339,-0.013827899325028207,0.35128819066809247,-0.04453774887970005,1.0691839802606649,0.025989179579768124,7.670432730505777,Europe_ASE,Europe,val
INTRK GA Equity,-0.28012852977303426,-0.15279732196091056,-0.9975639244275223,-0.15242509613734156,0.5441255707186963,-0.04781567306116646,0.3696254126341117,-0.04453774887970005,1.0691839802606649,0.3148242313237095,5.292174191174713,Europe_ASE,Europe,val
KARTZ GA Equity,-0.002865883073574187,-0.0012986374404917694,-0.9240617241882881,-0.0012000211523562898,0.4187264872811726,0.30996166730767943,0.2765384556417574,-0.04453774887970005,1.0691839802606649,0.6262415984284546,6.382142654513817,Europe_ASE,Europe,val
KEKR GA Equity,-0.21809911687526923,-0.15983568822815225,-0.9973070102715086,-0.1594052523615075,0.7308844466925158,0.18938085742143657,0.48776588596435716,-0.04453774887970005,1.0691839802606649,0.43634921071973387,6.607975075818596,Europe_ASE,Europe,val
KRI GA Equity,0.31583836514953784,0.14496799281301512,-0.7495129418313389,0.10865538676466735,0.3440221288924891,0.7433505541029567,0.21635294400680205,-0.04453774887970005,1.0691839802606649,2.2472048034412624,38.262892192239995,Europe_ASE,Europe,val
LAMDA GA Equity,-0.11217390074758721,-0.04984525937136788,-0.961042830540037,-0.04790342915526169,0.4270461206751969,0.14342914638843665,0.29128600758673673,-0.04453774887970005,1.0691839802606649,0.3554644539748,6.726518351584861,Europe_ASE,Europe,val
